speciesId	compartment	initialConcentration (nM)	solver
cyt_prot__NRG1_1__ERBB3_1__NRG1_1__ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__NRG1_1__ERBB4_1__NRG1_1__ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__HGF_1__MET_1__HGF_1__MET_1_	Cytoplasm	0.0	Deterministic
cyt_cong__PDGFB_1__PGFRB__PDGFB_1__PGFRB_	Cytoplasm	0.0	Deterministic
cyt_cong__FGF__FGFR__FGF__FGFR_	Cytoplasm	0.0	Deterministic
cyt_cong__IGF__IGF1R__IGF__IGF1R_	Cytoplasm	0.0	Deterministic
cyt_prot__INS_1__INSR_1__INS_1__INSR_1_	Cytoplasm	0.0	Deterministic
cyt_cong__EGFR_1__p_p_MAPK_	Cytoplasm	0.4955557535	Deterministic
cyt_cong__ERBB2_1__p_p_MAPK_	Cytoplasm	0.03762098543	Deterministic
cyt_cong__ERBB4_1__p_p_MAPK_	Cytoplasm	0.0	Deterministic
cyt_prot__EGF_1__pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__pY1196_pY1222_pY1248_ERBB2_1_	Cytoplasm	0.0	Deterministic
cyt_prot__EGF_1__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1_	Cytoplasm	0.0	Deterministic
cyt_prot__EGF_1__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__EGF_1__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1_	Cytoplasm	0.0	Deterministic
cyt_prot__EGF_1__pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__ERBB3_1_	Cytoplasm	0.0	Deterministic
cyt_prot__EGF_1__pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__NRG1_1__ERBB3_1_	Cytoplasm	0.0	Deterministic
cyt_prot__EGF_1__pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__pY1056_pY1162_pY1284_ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__EGF_1__pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__NRG1_1__pY1056_pY1162_pY1284_ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__pY1196_pY1222_pY1248_ERBB2_1__NRG1_1__ERBB3_1_	Cytoplasm	0.0	Deterministic
cyt_prot__pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__NRG1_1__ERBB3_1_	Cytoplasm	0.0	Deterministic
cyt_prot__NRG1_1__ERBB3_1__pY1056_pY1162_pY1284_ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__NRG1_1__ERBB3_1__NRG1_1__pY1056_pY1162_pY1284_ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__pY1196_pY1222_pY1248_ERBB2_1__NRG1_1__pY1056_pY1162_pY1284_ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__NRG1_1__pY1056_pY1162_pY1284_ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__ERBB3_1__NRG1_1__pY1056_pY1162_pY1284_ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__NRG1_1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4_1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__NRG1_1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4_1__NRG1_1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__HGF_1__pY1234_pY1235_pY1234_pY1235_MET_1__pY1234_pY1235_pY1234_pY1235_MET_1_	Cytoplasm	0.0	Deterministic
